Sale ID,Salesperson,First Name,Last Name,VIP,Date of Birth,Gender,Country,Item Quantity,Item Price,Item Colour,Item Size,Item Range,Item COGS,Item Profit,PurchaseDate
1,8,Denver,Roos,Y,29/06/1941,M,Australia,3,17.79,COLOUR-WHITE,SIZE-M,RANGE-OTHER,12.6309,5.1591,23/01/2014
2,1,Madie,Tyson,Y,21/03/1985,F,Australia,3,165,COLOUR-WHITE,SIZE-M,RANGE-JACKET,108.9,56.1,14/12/2013
3,2,Raymond,Jelis,N,23/08/1937,M,United Kingdom,4,658,COLOUR-BLUE,SIZE-XXL,RANGE-PANT,572.46,85.54,10/01/2014
4,7,Raquel,Hess,N,6/08/1975,F,Australia,9,98.55,COLOUR-BLACK,SIZE-S,RANGE-JACKET,61.101,37.449,15/10/2013
5,9,Brett,Proctor,Y,21/03/1967,M,United Kingdom,8,15.92,COLOUR-WHITE,SIZE-S,RANGE-PANT,12.0992,3.8208,15/09/2014
6,5,Troy,Madden,Y,12/09/1963,M,United States,8,15.04,COLOUR-BLACK,SIZE-XXL,RANGE-JACKET,9.776,5.264,20/07/2014
7,4,Brice,Hasselman,N,15/07/1989,M,United Kingdom,10,66.9,COLOUR-GREEN,SIZE-XL,RANGE-PANT,47.499,19.401,15/03/2014
8,8,Genna,Kline,N,27/05/1946,F,New Zealand,8,96.64,COLOUR-BLUE,SIZE-XXL,RANGE-JACKET,63.7824,32.8576,20/06/2014
9,4,Catalina,Herrera,Y,20/11/1973,F,New Zealand,6,52.38,COLOUR-GREEN,SIZE-S,RANGE-PANT,30.9042,21.4758,21/05/2014
10,1,Fermina,Ricket,N,13/05/1952,F,United Kingdom,1,107.5,COLOUR-WHITE,SIZE-M,RANGE-PANT,65.575,41.925,10/06/2014
11,7,Mitchell,Montes,Y,8/01/1996,M,New Zealand,6,63.6,COLOUR-WHITE,SIZE-L,RANGE-OTHER,48.972,14.628,27/05/2014
12,9,Naoma,Munoz,Y,24/05/1943,F,New Zealand,8,40.88,COLOUR-BLACK,SIZE-XXL,RANGE-SHIRT,24.9368,15.9432,3/01/2014
13,4,Rebbeca,van Es,N,19/02/1951,F,United Kingdom,7,127.4,COLOUR-BLACK,SIZE-M,RANGE-OTHER,90.454,36.946,28/09/2014
14,6,Bert,Ariens,N,28/01/1962,M,Australia,10,578.5,COLOUR-BLUE,SIZE-L,RANGE-SHIRT,428.09,150.41,17/07/2014
15,2,Riley,de Blanck,N,18/08/1978,M,United States,5,50,COLOUR-BLUE,SIZE-M,RANGE-JACKET,40.5,9.5,10/08/2014
16,8,Tenesha,Mcclure,Y,16/06/1966,F,United Kingdom,2,3.38,COLOUR-WHITE,SIZE-L,RANGE-SHIRT,2.197,1.183,5/03/2014
17,3,Louie,Slot,N,27/07/1978,M,New Zealand,2,4.68,COLOUR-WHITE,SIZE-S,RANGE-PANT,3.8376,0.8424,7/11/2013
18,3,Treasa,Richardson,N,14/03/1939,F,Australia,4,346.6,COLOUR-WHITE,SIZE-XXL,RANGE-PANT,259.95,86.65,19/12/2013
19,7,Jeromy,Lagerweij,N,10/01/1976,M,United States,2,18.42,COLOUR-BLUE,SIZE-S,RANGE-PANT,14.3676,4.0524,17/01/2014
20,4,Kirk,Green,Y,19/02/1936,M,United Kingdom,6,278.4,COLOUR-WHITE,SIZE-S,RANGE-JACKET,144.768,133.632,5/03/2014
21,8,Brandon,Waters,Y,28/06/1937,F,United States,6,194.82,COLOUR-GREEN,SIZE-S,RANGE-PANT,116.892,77.928,24/02/2014
22,4,Travis,Francis,N,12/10/1981,M,United States,9,116.28,COLOUR-GREEN,SIZE-M,RANGE-SHIRT,66.2796,50.0004,6/11/2013
23,4,Deonna,van Luyn,Y,20/04/1948,F,Australia,1,73.78,COLOUR-BLUE,SIZE-XL,RANGE-JACKET,36.89,36.89,12/01/2014
24,5,Bo,Dool,Y,8/02/1950,M,United States,5,39,COLOUR-WHITE,SIZE-L,RANGE-SHIRT,21.45,17.55,10/11/2013
25,3,Lena,Adriaens,N,4/03/1968,F,United Kingdom,8,179.6,COLOUR-BLACK,SIZE-M,RANGE-JACKET,100.576,79.024,25/06/2014
26,3,Venus,van Beek,Y,26/12/1996,F,United States,5,498.7,COLOUR-WHITE,SIZE-L,RANGE-OTHER,418.908,79.792,28/06/2014
27,7,Jeane,Simon,Y,26/10/1982,F,United Kingdom,6,57.36,COLOUR-BLUE,SIZE-XL,RANGE-OTHER,27.5328,29.8272,16/07/2014
28,5,Melita,Wade,N,19/04/1951,F,United States,3,233.97,COLOUR-WHITE,SIZE-S,RANGE-JACKET,191.8554,42.1146,26/04/2014
29,8,Titus,van Beest,Y,11/10/1976,M,Australia,3,75.36,COLOUR-WHITE,SIZE-L,RANGE-OTHER,51.9984,23.3616,16/08/2014
30,3,Loreen,Carroll,N,6/06/1946,F,United Kingdom,8,16,COLOUR-BLUE,SIZE-L,RANGE-SHIRT,13.44,2.56,29/01/2014
31,1,Kylie,Meyers,Y,6/02/1988,F,New Zealand,8,31.92,COLOUR-GREEN,SIZE-XL,RANGE-PANT,22.9824,8.9376,14/11/2013
